"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"7";"";"L-EUL2012C";"L2012C";"L1, L2, L56, L57, L67, L68, L69";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";
"5";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1, LED2, LED3, LED4, LED5";"LED";"";"";"";"";"";"";"";"";
"2";"";"ML10";"ML10";"JTAG, SV2";"HARTING";"";"";"";"";"unknown";"unknown";"";"";
"1";"";"PINHD-1X3";"1X03";"UART";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X5";"1X05";"SWD";"PIN HEADER";"";"";"";"";"";"";"";"";
"6";"0";"R-EU_R0603";"R0603";"R2, R9, R10, R34, R47, R48";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"1.91k";"R-EU_R0603";"R0603";"R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"43";"100n";"C-EUC0603";"C0603";"C6, C7, C14, C15, C16, C18, C19, C39, C40, C41, C42, C43, C44, C45, C57, C58, C59, C60, C103, C113, C114, C115, C118, C157, C163, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C183, C184";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"2";"100n";"INDUCTOR0603";"R0603";"L50, L51";"";"";"";"";"";"";"";"";"";
"2";"100p";"C-EUC0603";"C0603";"C140, C145";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"23";"10k";"R-EU_R0603";"R0603";"R16, R31, R32, R44, R45, R46, R54, R55, R56, R57, R58, R61, R62, R63, R64, R68, R69, R70, R71, R72, R73, R74, R77";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"10";"10n";"C-EUC0603";"C0603";"C20, C21, C23, C30, C101, C119, C136, C141, C146, C161";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"3";"10u";"C-EUC0603";"C0603";"C55, C105, C110";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"7";"10u";"C-EUC1206";"C1206";"C12, C13, C24, C26, C28, C29, C162";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"110";"R-EU_R0603";"R0603";"R51";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"7";"12";"INDUCTOR0603";"R0603";"L29, L30, L31, L32, L33, L34, L35";"";"";"";"";"";"";"";"";"";
"2";"120";"R-EU_R0603";"R0603";"R3, R29";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"12n";"C-EUC0603";"C0603";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"8";"14p";"C-EUC0603";"C0603";"C69, C70, C79, C80, C81, C82, C83, C84";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"4";"15p";"C-EUC0603";"C0603";"C46, C49, C50, C53";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"7";"18";"INDUCTOR0603";"R0603";"L22, L23, L24, L25, L26, L27, L28";"";"";"";"";"";"";"";"";"";
"3";"1n";"C-EUC0603";"C0603";"C25, C27, C151";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"49";"1u";"C-EUC0603";"C0603";"C1, C2, C3, C8, C9, C10, C11, C17, C22, C31, C32, C33, C34, C35, C36, C37, C38, C54, C56, C111, C112, C116, C117, C121, C122, C123, C124, C125, C130, C131, C132, C133, C134, C135, C137, C138, C139, C142, C143, C144, C147, C148, C149, C150, C152, C153, C154, C155, C156";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"4";"200";"R-EU_R0603";"R0603";"R37, R38, R39, R40";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"8";"200n";"INDUCTOR0603";"R0603";"L3, L4, L7, L8, L9, L10, L13, L14";"";"";"";"";"";"";"";"";"";
"8";"20p";"C-EUC0603";"C0603";"C61, C62, C71, C72, C73, C74, C75, C76";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"3";"22";"R-EU_R0603";"R0603";"R67, R75, R76";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"5";"220";"R-EU_R0603";"R0603";"R78, R79, R80, R81, R82";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"2";"22k1";"R-EU_R0603";"R0603";"R6, R66";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"3";"22p";"C-EUC0603";"C0603";"C126, C127, C160";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"4";"22u";"C-EUC1206";"C1206";"C158, C159, C164, C165";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"2";"250";"R-EU_R0603";"R0603";"R1, R27";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"2";"2u2";"SRN5040";"SRN5040";"L70, L71";"";"";"";"";"";"";"";"";"";
"1";"3";"R-EU_R0603";"R0603";"R33";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"12";"30n";"INDUCTOR0603";"R0603";"L15, L16, L17, L18, L19, L20, L21, L58, L59, L60, L61, L64";"";"";"";"";"";"";"";"";"";
"6";"30p";"C-EUC0603";"C0603";"C63, C64, C65, C66, C67, C68";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"4";"330n";"INDUCTOR0603";"R0603";"L5, L6, L11, L12";"";"";"";"";"";"";"";"";"";
"3";"33p";"C-EUC0603";"C0603";"C128, C129, C182";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"4";"3n9";"INDUCTOR0603";"R0603";"L52, L53, L54, L55";"";"";"";"";"";"";"";"";"";
"2";"3p9";"C-EUC0603";"C0603";"C93, C94";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"2";"470";"R-EU_R0603";"R0603";"R26, R28";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"2";"470n";"INDUCTOR0603";"R0603";"L62, L65";"";"";"";"";"";"";"";"";"";
"12";"49R9";"R-EU_R0603";"R0603";"R7, R8, R18, R19, R20, R21, R22, R23, R24, R25, R43, R53";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"3";"4k7";"R-EU_R0603";"R0603";"R30, R41, R42";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"5k1";"R-EU_R0603";"R0603";"R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"7";"5n6";"INDUCTOR0603";"R0603";"L43, L44, L45, L46, L47, L48, L49";"";"";"";"";"";"";"";"";"";
"10";"5p6";"C-EUC0603";"C0603";"C85, C86, C95, C96, C97, C98, C99, C100, C106, C107";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"4";"68p";"C-EUC0603";"C0603";"C47, C48, C51, C52";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"6SLX9TQG144";"6SLX9TQG144";"TQ144";"U1";"Xilinx FPGA: 6SLX9TQG144";"";"";"";"";"";"";"";"";
"2";"73k2";"R-EU_R0603";"R0603";"R5, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"77R5";"R-EU_R0603";"R0603";"R52";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"3";"820p";"C-EUC0603";"C0603";"C5, C102, C104";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"2";"8R66";"R-EU_R0603";"R0603";"R49, R50";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"2";"8n2";"INDUCTOR0603";"R0603";"L36, L42";"";"";"";"";"";"";"";"";"";
"5";"8n7";"INDUCTOR0603";"R0603";"L37, L38, L39, L40, L41";"";"";"";"";"";"";"";"";"";
"8";"9p";"C-EUC0603";"C0603";"C77, C78, C87, C88, C89, C90, C91, C92";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"ADF4360";"ADF4360";"QFN50P400X400X80-25T230";"IC15";"";"";"";"";"";"";"";"";"";
"1";"AP2114HA-3.3";"AP2114HA";"SOT230P700X180-4";"IC3";"";"";"";"";"";"";"";"";"";
"5";"BSS123";"BSS123";"SOT23";"Q1, Q2, Q3, Q4, Q5";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";"";
"1";"BSS84";"BSS84";"SOT23";"Q6";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";"";
"3";"DNP";"C-EUC0603";"C0603";"C108, C109, C120";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"9";"DNP";"R-EU_R0603";"R0603";"R11, R12, R13, R14, R35, R36, R59, R60, R65";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"X2";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";
"1";"HHM1522B1";"HHM1522B1";"INDCAF65P200X125X95-6";"B1";"";"";"";"";"";"";"";"";"";
"1";"HMC1021";"HMC1021";"QFN50P400X400X100-25T270";"IC27";"";"";"";"";"";"";"";"";"";
"1";"HMC1097";"HMC1097";"QFN50P400X400X100-25T280";"IC1";"";"";"";"";"";"";"";"";"";
"2";"HMC284";"HMC284";"MSOP08";"IC16, IC17";"";"";"";"";"";"";"";"";"";
"1";"LT1395";"OPA344N-SOT23";"SOT23-5";"IC20";"Single Operational Amplifier";"";"";"";"";"";"";"";"";
"1";"LT5560";"LT5560";"SON50P300X300X80-9T165X238";"IC14";"";"";"";"";"";"";"";"";"";
"3";"MAADSS0008";"MAADSS0008";"SOT95P280X110-5";"IC21, IC22, IC23";"";"";"";"";"";"";"";"";"";
"1";"MAX2871";"MAX2871";"QFN50P500X500X80-33T310";"IC2";"";"";"";"";"";"";"";"";"";
"1";"MAX5873";"MAX5873";"QFN50P1000X1000X100-69T770";"IC6";"";"";"";"";"";"";"";"";"";
